,0,_merge
422,3klr,both
423,1tl2,both
424,4ler,left_only
425,3bhd,both
426,3e9v,both
427,1t8k,both
428,2o37,left_only
429,1x8q,both
430,1v58,both
431,1qex,left_only
432,1f1m,left_only
433,2dlb,both
434,2fvy,both
435,1cuk,both
436,1qks,both
437,1vmb,both
438,2j4w,left_only
439,3nft,both
440,1o98,both
441,1hi9,both
442,3rlf,both
443,1dj8,both
444,1jfb,both
445,1zce,left_only
446,3l00,left_only
447,1zoq,both
448,1s0p,both
449,2f4m,both
450,1s2x,left_only
451,1jke,both
452,2ohw,both
453,1t6a,left_only
454,1k4z,both
455,2gjv,both
456,3dk9,both
457,3qq8,both
458,1puc,both
459,1kaf,left_only
460,1u07,both
461,2gf4,left_only
462,1e44,left_only
463,1aco,both
464,2nml,both
465,2g03,both
466,3axj,both
467,3cu9,both
468,3a9s,left_only
469,4al0,both
470,1rwi,both
471,1n13,both
472,1weh,left_only
473,2rde,left_only
474,1pby,left_only
475,1ezg,both
476,1ryq,both
477,3cwc,both
478,3tvj,both
479,1p9y,both
480,1i71,left_only
481,1r71,both
482,2gfq,both
483,1knm,both
484,1kmv,both
485,2y8y,both
486,1gxm,left_only
487,1knz,left_only
488,2uv4,both
489,3c9u,both
490,1l3k,both
491,1k4i,both
492,3fso,both
493,2dxu,left_only
494,2fcj,left_only
495,1t77,left_only
496,2vdr,both
497,2h8e,both
498,2xhi,both
499,1ov9,left_only
500,2hnu,both
501,1ayo,both
502,2f4i,left_only
503,2hba,both
504,1dk8,both
505,2fma,both
506,1v6p,both
507,1vcl,left_only
508,2huh,left_only
509,2j8g,left_only
510,1x91,both
511,1xak,left_only
512,1hf2,both
513,2fup,both
514,3pms,left_only
515,1hfe,both
516,1fkm,both
517,4i6y,both
518,3g91,both
519,2apl,left_only
520,2jli,both
521,3rzn,both
522,1v74,both
523,1q2h,both
524,1f3v,both
525,1muw,both
526,2j80,both
527,2csb,left_only
528,2od0,left_only
529,2oeb,both
530,4emt,both
531,3uej,both
532,1c5e,left_only
533,1sei,both
534,2jdi,left_only
535,3c8g,both
536,1l0q,left_only
537,2wnp,both
538,2r75,both
539,1k8k,both
540,2w6k,both
541,1gzs,both
542,1eb6,both
543,2ii1,left_only
544,1b33,both
545,1nqj,both
546,1go3,both
547,1i4j,both
548,1usu,both
549,1g8q,both
550,1nkd,both
551,2ntk,both
552,2r0x,left_only
553,3jqk,left_only
554,1g6x,both
555,3o6c,both
556,1gmx,both
557,1pm4,left_only
558,2g38,both
559,1hyo,both
560,1r5l,both
561,2ylb,both
562,1b25,left_only
563,1px5,both
564,4jer,left_only
565,1wqj,both
566,3m4i,both
567,1wpn,both
568,1k5n,both
569,2phc,left_only
570,1l0s,left_only
571,3awu,left_only
572,2i0z,left_only
573,2xi8,left_only
574,2a2l,left_only
575,1vzm,both
576,1s1d,both
577,1ccw,both
578,1t9i,both
579,3w07,both
580,1x9d,both
581,2j9w,left_only
582,1f35,both
583,1xmk,both
584,2mhr,both
585,1mv8,both
586,2z16,left_only
587,2asb,both
588,1o75,both
589,3bp3,both
590,2hxm,both
591,4gmu,both
592,2apo,both
593,2huj,left_only
594,2hw4,both
595,1xly,both
596,2c0g,both
597,3ilw,both
598,1f3u,both
599,2j97,left_only
600,3bi1,both
601,1zbp,left_only
602,1ozn,both
603,2aj7,both
604,2cs7,left_only
605,2vfx,both
606,1sg4,both
607,1mla,both
608,2a1v,left_only
609,2pk8,left_only
610,1rlr,both
611,2pif,both
612,4dhl,both
613,3d3r,left_only
614,4ay7,left_only
615,1us7,both
616,1whi,both
617,1g8e,both
618,1kyf,both
619,2gpi,left_only
620,1kyq,both
621,1nkp,both
622,3a4r,both
623,2e0a,both
624,1lpb,both
625,3ct6,both
626,1y0p,both
627,1eu1,both
628,3o4p,both
629,1jb0,left_only
630,4a8u,both
631,2bl8,both
632,2prv,both
633,1ugi,left_only
634,2p0t,both
635,1gxu,both
636,2y5f,both
637,1k6y,left_only
638,1wpb,left_only
639,2wlv,left_only
640,1uj8,both
641,3qpa,both
642,1zme,both
643,4e4r,both
644,2a26,both
645,2dt8,left_only
646,1cxq,left_only
647,1vcc,left_only
648,4i9o,both
649,2fzp,both
650,1mwq,both
651,1tul,left_only
652,1vmh,left_only
653,1ds1,both
654,1v8c,left_only
655,1sr8,both
656,3rvc,left_only
657,1oai,both
658,1he1,both
659,1xbi,both
660,3n08,both
661,2qud,left_only
662,4i7e,both
663,2j5y,both
664,2j6b,left_only
665,4iau,left_only
666,1aol,left_only
667,1mwp,both
668,1tzb,both
669,1a62,both
670,1vaj,both
671,1cy5,both
672,3pc7,both
673,1qd6,both
674,1v7z,both
675,3kwd,both
676,1j09,both
677,4gv2,both
678,1hp1,both
679,2f5t,both
680,2i1s,left_only
681,2bti,both
682,2bw3,left_only
683,1wqg,both
684,1k5c,left_only
685,2phn,both
686,2i06,both
687,2ido,both
688,3sjl,left_only
689,2p3y,left_only
690,1rcq,both
691,1itx,both
692,1u2c,both
693,1gmu,both
694,1usm,left_only
695,1nh1,both
696,1p6o,both
697,3f0p,both
698,3v5w,both
699,1gci,both
700,4a5s,both
701,3omy,both
702,1nki,both
703,2rfr,left_only
704,1g7s,both
705,2ed6,left_only
706,4ac7,both
707,1io1,both
708,2wyt,both
709,1upt,both
710,1y02,both
711,1wjx,both
712,3zyq,both
713,1e58,left_only
714,2p12,left_only
715,1bg1,both
716,1lkk,both
717,1ufy,both
718,3fst,both
719,1l3p,both
720,1r8s,both
721,2ghv,left_only
722,1lsh,both
723,2q66,both
724,1d3y,both
725,1xub,both
726,1ow1,left_only
727,1sed,both
728,3gwk,both
729,4gwb,both
730,1dj0,both
731,2odk,left_only
732,2ofc,left_only
733,3r87,left_only
734,1olz,both
735,2c2a,left_only
736,4i8h,both
737,2j8k,left_only
738,1o8b,both
739,3bqo,both
740,2dm9,both
741,2ftx,both
742,2d8d,left_only
743,1uz5,left_only
744,1twf,both
745,2ciw,both
746,1q6z,both
747,2qup,left_only
748,1xm3,both
749,1on2,both
750,3nir,left_only
751,2db7,both
752,1zt3,both
753,4lrs,left_only
754,1jr8,both
755,1f1e,left_only
756,2ogf,both
757,1fsg,both
758,2vhk,both
759,2aib,both
760,3k6i,both
761,1j3w,left_only
762,3rlo,both
763,1fs1,both
764,1skn,both
765,4gt9,both
766,1cc8,both
767,2fb5,left_only
768,3ivv,both
769,2oiz,both
770,3pzw,both
771,1ou8,both
772,1jid,both
773,2bv4,left_only
774,2erl,both
775,1bkr,both
776,1nrj,both
777,1bgf,both
778,2nlv,left_only
779,2psp,both
780,3fil,both
781,3h7i,left_only
782,3mzf,both
783,1g73,both
784,1io0,left_only
785,1lsl,both
786,1wd3,both
787,3f0d,both
788,1in0,both
789,3czz,both
790,1w0n,both
791,2nug,both
792,3hht,left_only
793,1p5d,both
794,1kwf,both
795,4fhr,both
796,2wur,both
797,4dri,both
798,1yfq,both
799,2pst,both
800,1p9g,both
801,4a82,both
802,1r6j,both
803,1nqu,both
804,2gec,left_only
805,3mcw,left_only
806,2i15,both
807,4atm,both
808,2wn9,left_only
809,1xu1,both
810,1m6y,both
811,4gwg,both
812,1fpo,both
813,3eoj,both
814,1qd1,both
815,1js8,left_only
816,1tt8,both
817,2d9r,left_only
818,2hy5,both
819,1oa8,both
820,3n2w,both
821,1vmo,both
822,1tuk,both
823,1h2c,left_only
824,1zzk,both
825,1oc0,both
826,2ap3,left_only
827,3pbt,both
828,1vbw,left_only
829,1qf8,both
830,2dbs,left_only
831,1j27,left_only
832,1qqp,left_only
833,1m55,left_only
834,2h6f,both
835,1zav,both
836,1mc2,both
837,3rof,both
838,3ea6,left_only
839,1d0q,both
840,1ji7,both
841,1zl0,both
842,1pv5,both
843,1l2p,both
844,3tn2,both
845,3m5q,both
846,3c8y,both
847,1roc,both
848,2nls,both
849,2g3r,both
850,4axo,both
851,1ko7,both
852,1euw,both
853,2psb,both
854,3h0n,left_only
855,2rkq,both
856,1p90,left_only
857,2bay,both
858,1nkz,both
859,2wzk,both
860,1w23,both
861,2e2a,both
862,3q20,both
863,1yk4,both
864,3zuc,left_only
865,1ryl,both
866,3aa0,both
867,2bop,left_only
868,2bog,both
869,3amr,both
870,3mmh,left_only
871,1pz4,left_only
872,1kl9,both
873,1klx,both
874,1k92,both
875,2pju,both
876,4a1i,both
877,2es9,both
878,1k6k,both
879,1k4t,both
880,1r9f,left_only
881,1el6,left_only
882,1hq1,both
883,2oku,left_only
884,2aef,both
885,1jhg,both
886,3b0g,left_only
887,1zat,left_only
888,3ui4,both
889,4g78,left_only
890,1x9z,both
891,1mw5,both
892,1xmb,both
893,1o82,left_only
894,2ci1,both
895,2ask,both
896,2fvv,both
897,1a9x,both
898,1o7j,both
899,3brd,both
900,2fyx,left_only
901,1mty,both
902,1mvf,left_only
903,3i94,both
904,2oqz,left_only
905,1oo0,both
906,2fzt,left_only
907,3eye,left_only
908,1oxx,both
909,1m56,left_only
910,1z67,left_only
911,4ene,both
912,2fef,both
913,3ldq,both
914,4eo7,both
915,2o2k,both
916,1dfu,both
917,2h88,left_only
918,1sf9,both
919,2v3z,both
920,2gib,left_only
921,1gte,both
922,3m9q,both
923,1ufi,both
924,3d06,both
925,2bz1,both
926,1r7l,left_only
927,2b97,both
928,2rk3,both
929,1yfs,both
930,4acf,both
931,4f19,left_only
932,1ik9,both
933,1wcw,left_only
934,3q46,left_only
935,1yc9,left_only
936,4h6c,left_only
937,1n7z,left_only
938,1u7z,both
939,1nu9,both
940,4j9y,both
941,3zho,both
942,1gpj,both
943,2ia7,left_only
944,1u84,left_only
945,2f23,both
946,2xov,both
947,1zin,both
948,3lmn,both
949,2a9s,left_only
950,1vp7,both
951,1m0k,both
952,2hdz,both
953,2a9d,both
954,3u81,both
955,2o5h,left_only
956,1af7,both
957,2d0o,left_only
958,3ksn,both
959,2mcm,both
960,2zcw,both
961,3piw,left_only
962,2jek,both
963,1q9u,left_only
964,1ts9,both
965,1xeo,both
966,2z51,both
967,1xg0,both
968,3pdf,left_only
969,1xkr,both
970,1v30,both
971,1zel,left_only
972,1z0p,left_only
973,1orj,left_only
974,2czv,both
975,1jos,both
976,1zjc,left_only
977,2zw2,left_only
978,2f22,left_only
979,1osy,both
980,2i71,both
981,1rk8,both
982,3dnj,both
983,3cjs,both
984,1pp0,left_only
985,2ich,left_only
986,4j7d,both
987,1ciy,both
988,1nvu,both
989,1yu5,both
990,2p6v,both
991,1egw,both
992,4dui,left_only
993,1uuy,both
994,1n4w,both
995,4agh,left_only
996,1gd8,both
997,1yoz,both
998,3a38,both
999,1n8v,left_only
1000,4a2v,left_only
1001,4hl2,both
1002,1n93,left_only
1003,3dxr,both
1004,1kq6,both
1005,2gyk,both
1006,2b1y,left_only
1007,2pyq,left_only
1008,1wn2,both
1009,2wqk,both
1010,1w85,both
1011,1nc7,left_only
1012,2w1v,both
1013,1reg,left_only
1014,1lns,both
1015,3qzb,both
1016,1nth,left_only
1017,1yt3,both
1018,1rgx,both
1019,1wtj,both
1020,1yzy,both
1021,1unq,both
1022,1jof,both
1023,1zke,both
1024,1jo0,both
1025,3b64,left_only
1026,2qdl,left_only
1027,1xsv,both
1028,2dpf,both
1029,1j5u,both
1030,3psm,left_only
1031,3u9w,both
1032,1vpb,left_only
1033,2fi0,both
1034,3wcq,left_only
1035,2ot3,both
1036,3bzk,both
1037,3byp,left_only
1038,2hs1,left_only
1039,4fyx,both
1040,2ccv,left_only
1041,1xkp,both
1042,1ofz,both
1043,1vjl,left_only
1044,1vi6,both
1045,1fn9,left_only
1046,2cnq,both
1047,1h4r,both
1048,1q8d,both
1049,2jfr,left_only
1050,2cc6,both
1051,3byq,left_only
1052,2hpj,both
1053,1tjx,both
1054,2v89,both
1055,2a90,both
1056,3ulj,left_only
1057,2hf1,both
1058,3nvs,both
1059,3ip4,both
1060,4b4u,left_only
1061,1nxj,both
1062,1wu9,both
1063,2p8i,left_only
1064,1ppr,both
1065,1rg8,both
1066,1u6k,both
1067,1u5p,both
1068,1lmi,both
1069,3fyb,left_only
1070,1r0m,left_only
1071,2i9x,both
1072,1ef1,both
1073,4aiw,both
1074,1uv7,both
1075,2rld,left_only
1076,1pi1,both
1077,1kqf,left_only
1078,1w53,both
1079,1y9i,left_only
1080,2ivy,both
1081,1uxy,both
1082,2rbk,left_only
1083,1no1,left_only
1084,3vdp,both
1085,1g2y,both
1086,1p1x,both
1087,2ebf,both
1088,2gti,left_only
1089,1wna,left_only
1090,4jxq,left_only
1091,3cr3,both
1092,1ucd,both
1093,3hwu,left_only
1094,3dby,left_only
1095,1rfy,both
1096,4htg,both
1097,4mjr,both
1098,1ucs,both
1099,2p74,left_only
1100,2i5h,left_only
1101,2ia1,left_only
1102,3s8g,both
1103,4dnd,both
1104,1rki,left_only
1105,1s7m,left_only
1106,3ip0,both
1107,2cyj,left_only
1108,1s7z,left_only
1109,1td6,both
1110,2cxy,both
1111,1tig,both
1112,2cve,left_only
1113,1z0w,both
1114,3k34,both
1115,2a9u,both
1116,1a12,both
1117,1f7u,both
1118,1f60,both
1119,1x38,left_only
1120,1fm0,both
1121,1vkm,both
1122,2c9w,both
1123,1dwk,both
1124,1dvo,both
1125,1o3u,left_only
1126,1ogm,both
1127,2xzg,both
1128,1svb,left_only
1129,4eqp,both
1130,2ou3,left_only
1131,1sz7,both
1132,2xw6,left_only
1133,2ota,both
1134,1m22,left_only
1135,1m1h,both
1136,1qw2,left_only
1137,2fj8,both
1138,2dsy,left_only
1139,1vpq,left_only
1140,2h1v,both
1141,1jb3,both
1142,4e2v,both
1143,1jly,left_only
1144,1t3u,both
1145,2f2b,both
1146,1wvq,left_only
1147,1ri6,both
1148,1gqi,both
1149,2iaf,left_only
1150,3s4e,both
1151,2g50,both
1152,1kjn,left_only
1153,2end,left_only
1154,2bky,both
1155,1n5u,both
1156,2bhu,both
1157,3qm9,left_only
1158,2iwk,both
1159,1kp6,left_only
1160,2nr5,left_only
1161,1ijy,both
1162,1uz3,both
1163,1n81,both
1164,1pfo,both
1165,4dwr,both
1166,1uty,left_only
1167,1uuj,both
1168,3fx7,both
1169,1nty,left_only
1170,3osx,left_only
1171,2pmr,left_only
1172,4fw1,left_only
1173,1nze,both
1174,4ee6,left_only
1175,2czr,left_only
1176,1xqo,both
1177,1zhx,both
1178,1mky,both
1179,1fx2,both
1180,1t2d,both
1181,3l8w,both
1182,2x42,left_only
1183,2h1t,both
1184,1z3x,left_only
1185,2v9l,both
1186,3l51,both
1187,1dl5,both
1188,3pro,both
1189,1fcy,both
1190,1ois,both
1191,1ojh,left_only
1192,1syx,both
1193,4esm,both
1194,1o2d,left_only
1195,3pkz,both
1196,1xdn,both
1197,1hc7,both
1198,1o22,left_only
1199,1x2i,left_only
1200,3ess,both
1201,3rq7,both
1202,1vh4,both
1203,1qmh,both
1204,2qsb,both
1205,1x3l,both
1206,2ox7,left_only
1207,1cru,both
1208,1dtd,both
1209,1vd6,left_only
1210,1dy5,both
1211,2dew,both
1212,1vrm,left_only
1213,3umh,both
1214,2oa5,left_only
1215,1qwg,both
1216,2hiy,left_only
1217,1jnr,left_only
1218,3cim,both
1219,4hy4,both
1220,1u94,both
1221,2p62,left_only
1222,2ykz,both
1223,1yu0,left_only
1224,2pbk,left_only
1225,3t0h,both
1226,2i9i,both
1227,1i2t,left_only
1228,2izx,both
1229,1bx7,both
1230,3fau,both
1231,3mqd,left_only
1232,1kpt,left_only
1233,1kqp,both
1234,2ebs,both
