,PDB_ID
667,2ayd
668,1sed
669,4f01
670,4j7d
671,1o2d
672,3eeq
673,2i9x
674,2d8d
675,2fj8
676,1u94
677,3m7v
678,1dfu
679,1kqp
680,1bxy
681,1qmh
682,2inw
683,3dk9
684,4h27
685,1ow1
686,3awu
687,4hww
688,1c5e
689,1fm0
690,1w6s
691,1osy
692,1z2u
693,1td6
694,1vjl
695,1hfe
696,2pww
697,3o6c
698,2v3z
699,1u5p
700,2pk8
701,2bv4
702,2cs7
703,1n4w
704,1hf2
705,2d1s
706,1kjq
707,2cc6
708,1r0v
709,1gxu
710,1f60
711,1ylx
712,1s1d
713,1irq
714,2iaf
715,1r7l
716,2fef
717,1k5n
718,1whi
719,1ozj
720,3ag3
721,3epw
722,1el6
723,1uxy
724,1kgs
725,2gti
726,1lkk
727,1ix9
728,1mky
729,3f6y
730,1hxr
731,1lsl
732,2i5v
733,1lmi
734,4a1i
735,2pu9
736,2f23
737,1eu1
738,1pfo
739,3u7q
740,4agh
741,3psm
742,2oqz
743,2y71
744,1jb0
745,2h1t
746,1ecw
747,1y9i
748,3sxu
749,1hq1
750,3ors
751,1i71
752,1zin
753,1nkp
754,1xm3
755,4fw1
756,1vf7
757,3ivv
758,1mtp
759,3eoj
760,3ar4
761,1n62
762,1z0w
763,3fil
764,1vke
765,3dxr
766,2ivy
767,1zl0
768,4ler
769,2p6v
770,1owl
771,1b79
772,1j98
773,2r75
774,1tke
775,2cnq
776,2dsy
777,1wn2
778,1m1h
779,4h6c
780,3k2z
781,2pmr
782,1r0v
783,2p0t
784,1ppj
785,1rg8
786,1f1m
787,3qpa
788,1zat
789,1xvs
790,2phn
791,1vq8
792,1y02
793,1u7g
794,3hht
795,3bof
796,1knm
797,1d3y
798,2f01
799,1vcc
800,1t3u
801,3ui4
802,1jx4
803,3g0m
804,1jly
805,1kjq
806,1fkm
807,3uaw
808,3zqu
809,2e0a
810,3rlo
811,3dkm
812,1a9x
813,3hwu
814,1nqu
815,2zcw
816,1wui
817,3o4p
818,1no1
819,1oks
820,2fqm
821,1h4x
822,1q6z
823,2i06
824,1qqp
825,1ti6
826,1k04
827,3w5h
828,1l0s
829,1kyq
830,1oqj
831,2a65
832,1uoy
833,1s7z
834,1k4i
835,1t9i
836,1vk5
837,1nh2
838,2ciw
839,1zel
840,1dzf
841,3kwd
842,2ih2
843,3pdf
844,1ts9
845,1h7c
846,1he1
847,3fst
848,2wfi
849,1vr7
850,1zce
851,1b0n
852,3a9s
853,1fx2
854,1xpp
855,2f4i
856,2a90
857,1aie
858,2g7s
859,2i71
860,1jr8
861,2ykz
862,1tf5
863,1wpb
864,3ju4
865,1kmv
866,2dpf
867,2xjp
868,1n13
869,1rwh
870,4dhl
871,1ov9
872,1nu9
873,1ng6
874,1pp0
875,1q5z
876,1zbp
877,1q8d
878,2p8q
879,2fhz
880,1yu5
881,2a9u
882,2jhf
883,1l6p
884,1ucs
885,1wdd
886,1cfz
887,1m22
888,2fzp
889,1jos
890,1n5u
891,2cg7
892,3umh
893,1tuk
894,1b33
895,2ahm
896,3r8j
897,1zjc
898,4a5s
899,1f3v
900,1vp8
901,1jid
902,2qkl
903,3bux
904,2p62
905,2bln
906,1j5y
907,1r29
908,3axj
909,1jof
910,1go3
911,3bbb
912,1ewf
913,2odk
914,1v74
915,1o75
916,2ca5
917,2za4
918,1nvu
919,1vbw
920,2wds
921,3d36
922,1bg1
923,4jp6
924,1hc7
925,1ciy
926,1f1e
927,1gwe
928,1vmo
929,1mk0
930,1ppj
931,1i1w
932,2ich
933,1zzk
934,2gkg
935,4a8u
936,2nug
937,3ip0
938,4al0
939,2asb
940,3mmh
941,1r5l
942,1kwf
943,1o75
944,1o8b
945,3rss
946,1u7z
947,1y0n
948,1p9g
949,1syx
950,2ia7
951,1gqi
952,4lrs
953,3b0g
954,3eye
955,1o98
956,1g6x
957,3pkz
958,1gpj
959,1lpb
960,1e8c
961,1kyf
962,3ar4
963,1vkm
964,1hbn
965,3ddt
966,1dy5
967,2ag4
968,1jb0
969,2g38
970,1k3x
971,1nkd
972,1unq
973,1fxk
974,1pfv
975,4jer
976,1zav
977,2je6
978,3f42
979,1k8k
980,1qtn
981,3ag3
982,2z7f
983,3aa0
984,2ccv
985,2oeb
986,3u81
987,2ot3
988,2nsz
989,2wyt
990,4fio
991,3og2
992,3ku3
993,1zps
994,2end
995,2z16
996,1vf6
997,1xsv
998,1vyr
999,1vzy
1000,2q6k
1001,1jb0
1002,2gjv
1003,1uv7
1004,1t07
1005,1ka1
1006,2f22
1007,1s0p
1008,1bkr
1009,1p9y
1010,1ix9
1011,2car
1012,2apl
1013,1p5d
1014,1io0
1015,2jdq
1016,1jfb
1017,1wy6
1018,1gte
1019,2xi8
1020,1mw5
1021,1us7
1022,1z67
1023,3ci3
1024,2fcw
1025,2hqs
1026,3arc
1027,2qdl
1028,1mv8
1029,2fef
1030,3gp6
1031,4hws
1032,2o6k
1033,3arc
1034,1ufi
1035,1mtp
1036,2j97
1037,1ugi
1038,1q0q
1039,2bjq
1040,2p74
1041,2ox7
1042,1xbi
1043,4a1i
1044,1j09
1045,1vkf
1046,1eu1
1047,1ik9
1048,1ah7
1049,2iwk
1050,1pvm
1051,1ucd
1052,3g21
1053,1or7
1054,1rl6
1055,2psp
1056,4b4u
1057,2p12
1058,2ohw
1059,1j5u
1060,4j9y
1061,2fhz
1062,1xeo
1063,3dby
1064,1mwp
1065,3f0d
1066,4kef
1067,4f01
1068,2q2g
1069,1ogm
1070,2fpn
1071,1e7l
1072,1fcy
1073,2j5y
1074,1tig
1075,1nkz
1076,1r0d
1077,1af7
1078,1vq8
1079,3ulj
1080,1z0p
1081,1s98
1082,1j3w
1083,1wna
1084,2iay
1085,2hdz
1086,1ei5
1087,3c9u
1088,2hy5
1089,1weh
1090,1yb3
1091,1wu9
1092,3oxp
1093,1xg0
1094,2q0z
1095,1pi1
1096,2gyk
1097,2p8i
1098,2nml
1099,2jfr
1100,2od0
1101,1cq3
1102,1t11
1103,1kjq
1104,1xak
1105,4mjr
1106,3ag3
1107,3tg0
1108,1wlg
1109,1gqe
1110,2hs1
1111,2aib
1112,2je6
1113,2d9r
1114,1z3e
1115,1k8k
1116,1dzf
1117,1v58
1118,2e9x
1119,3ag3
1120,3dnj
1121,1aol
1122,2auw
1123,1rk8
1124,1upt
1125,2izx
1126,1n93
1127,3qzb
1128,3w5h
1129,2czv
1130,1q6z
1131,2o2k
1132,2ntk
1133,4gt9
1134,4gv2
1135,1dce
1136,2h6f
1137,3hms
1138,2r75
1139,1owl
1140,2vdr
1141,1cy5
1142,2v8t
1143,2xov
1144,2o8s
1145,2rde
1146,2wkx
1147,1o7j
1148,1nqj
1149,1w85
1150,4esp
1151,1ri6
1152,4dri
1153,1xsz
1154,1n62
1155,2bw3
1156,4au1
1157,3piw
1158,1k5c
1159,3sjl
1160,1t2d
1161,2jdi
1162,1m1f
1163,2c71
1164,1sj7
1165,3ose
1166,3bp3
1167,1v8c
1168,1kq6
1169,4lwr
1170,1kp6
1171,1z0j
1172,1uuj
1173,2w6k
1174,3fau
1175,1nlq
1176,3g91
1177,3n08
1178,1sf9
1179,2bln
1180,1cxq
1181,1j0p
1182,3c8w
1183,1sz7
1184,1l3l
1185,2gom
1186,2hba
1187,2d00
1188,3ag3
1189,1x91
1190,2fcl
1191,1k8k
1192,1w66
1193,1wdd
1194,1n3l
1195,2gsv
1196,3fyb
1197,1xqo
1198,3ag3
1199,2f9h
1200,1pm4
1201,1jb0
1202,4i6y
1203,1gpq
1204,4hy4
1205,2bop
1206,1qw2
1207,1kqf
1208,1ciy
1209,2aef
1210,3h63
1211,2bti
1212,2j8k
1213,1muw
1214,1vpb
1215,1tf5
1216,1slu
1217,1wqj
1218,1t1u
1219,4e3y
1220,3ojc
1221,1vio
1222,1tl2
1223,3cr3
1224,1svb
1225,1h99
1226,2rkq
1227,2b59
1228,3a9s
1229,1cuk
1230,1wcw
1231,2woe
1232,1oo0
1233,1vq8
1234,4ac7
1235,2e2a
1236,2axw
1237,3llp
1238,3cjs
1239,2pyq
1240,1cc8
1241,2dej
1242,1a62
1243,2c6q
1244,1yfs
1245,2c60
1246,1rwh
1247,2sic
1248,1jw9
1249,1n13
1250,1cip
1251,3ju4
1252,2wlv
1253,2rbk
1254,1bou
1255,1rlr
1256,1tt8
1257,2fiy
1258,2v6x
1259,1us0
1260,3ess
1261,3s4y
1262,3q46
1263,1ifr
1264,4a2v
1265,2gbo
1266,1q5y
1267,2dt8
1268,2x42
1269,1qtn
1270,2f2h
1271,1io1
1272,3arc
1273,1hi9
1274,1ji7
1275,2nr5
1276,2we5
1277,1f7u
1278,1sbx
1279,1k3x
1280,2v89
1281,2b0a
1282,3omy
1283,2qhf
1284,1r0r
1285,1ijy
1286,2q6k
1287,3cwc
1288,2bhu
1289,3rzn
1290,1wjx
1291,1kqf
1292,1vzy
1293,1k1f
1294,3a38
1295,1ppr
1296,1m56
1297,2fsu
1298,1vq8
1299,1xdn
1300,1mwq
1301,2oux
1302,1knz
1303,3e9v
1304,1bx7
1305,2fb5
1306,4i9o
1307,1r5l
1308,2xzg
1309,4esm
1310,2ofc
1311,1zgk
1312,1skn
1313,2apo
1314,2ebf
1315,2nug
1316,1t8k
1317,3i94
1318,2p3y
1319,3l00
1320,1eex
1321,4e4r
1322,1u07
1323,1vaj
1324,1vq8
1325,1hbn
1326,1rc9
1327,2ic2
1328,2g50
1329,1sr8
1330,3m4i
1331,1f3u
1332,1ofz
1333,3jvl
1334,1bgf
1335,1a1x
1336,1jhg
1337,1vr0
1338,1u2h
1339,1s7m
1340,1nh1
1341,1vcl
1342,3osx
1343,3b0g
1344,4doi
1345,3rof
1346,1sg4
1347,1s99
