,PDB_ID
289,1nkd
290,1nki
291,1nkp
292,1nkz
293,1nlq
294,1no1
295,1nqj
296,1nqu
297,1nrj
298,1nth
299,1nty
300,1nu9
301,1nvu
302,1nwz
303,1nxj
304,1nyc
305,1nze
306,1nzi
307,1o22
308,1o2d
309,1o3u
310,1o75
311,1o75
312,1o7j
313,1o7q
314,1o82
315,1o8b
316,1o98
317,1oa8
318,1oai
319,1oc0
320,1ofc
321,1ofd
322,1ofz
323,1ogm
324,1ois
325,1ojh
326,1ok0
327,1okc
328,1oks
329,1olz
330,1olz
331,1on2
332,1oo0
333,1oqj
334,1or7
335,1or7
336,1orj
337,1osy
338,1ou8
339,1ov9
340,1ow1
341,1owl
342,1owl
343,1oxx
344,1ozj
345,1ozn
346,1p1x
347,1p5d
348,1p6o
349,1p90
350,1p9g
351,1p9y
352,1pby
353,1pfo
354,1pfv
355,1pi1
356,1pm4
357,1pp0
358,1ppj
359,1ppj
360,1ppj
361,1ppj
362,1ppj
363,1ppj
364,1ppj
365,1ppr
366,1puc
367,1pv5
368,1pvm
369,1px5
370,1pz4
371,1q0q
372,1q2h
373,1q5y
374,1q5z
375,1q6z
376,1q6z
377,1q74
378,1q88
379,1q8d
380,1q9u
381,1qd1
382,1qex
383,1qf8
384,1qks
385,1qmh
386,1qw2
387,1qwg
388,1r0d
389,1r0m
390,1r0r
391,1r0v
392,1r0v
393,1r29
394,1r5l
395,1r5l
396,1r6j
397,1r71
398,1r7l
399,1r8s
400,1r9f
401,1rc9
402,1rcq
403,1reg
404,1rfy
405,1rg8
406,1rgx
407,1ri6
408,1rk8
409,1rki
410,1rl6
411,1rlr
412,1roc
413,1rss
414,1rtq
415,1rwh
416,1rwh
417,1rwi
418,1ryl
419,1ryq
420,1s0p
421,1s1d
422,1s2x
423,1s7m
424,1s7z
425,1s98
426,1s99
427,1sbx
428,1sdi
429,1sed
430,1sei
431,1sf9
432,1sg4
433,1sj7
434,1skn
435,1slu
436,1sr8
437,1svb
438,1syx
439,1sz7
440,1szh
441,1t07
442,1t11
443,1t1e
444,1t1u
445,1t2d
446,1t3u
447,1t6a
448,1t6u
449,1t77
450,1t8k
451,1t9i
452,1td6
453,1tf5
454,1tf5
455,1ti6
456,1tig
457,1tjx
458,1tke
459,1tl2
460,1ts9
461,1tt8
462,1tuk
463,1tul
464,1twf
465,1twf
466,1twf
467,1tx4
468,1tzb
469,1u07
470,1u2c
471,1u2h
472,1u5k
473,1u5p
474,1u6k
475,1u7g
476,1u7z
477,1u84
478,1u94
479,1ucd
480,1ucs
481,1udx
482,1ufi
483,1ufy
484,1ugi
485,1uj8
486,1unq
487,1uoy
488,1upt
489,1us0
490,1us7
491,1usm
492,1usu
493,1ut7
494,1utg
495,1uty
496,1uuj
497,1uuy
498,1uv7
499,1uwk
500,1ux5
501,1uxy
502,1uz3
503,1uz5
504,1uz5
505,1v30
506,1v58
507,1v6p
508,1v74
509,1v7z
510,1v8c
511,1vaj
512,1vbw
513,1vcc
514,1vcl
515,1vd6
516,1vf6
517,1vf7
518,1vh4
519,1vi6
520,1vio
521,1vjl
522,1vk1
523,1vk5
524,1vke
525,1vkf
526,1vkm
527,1vlr
528,1vly
529,1vly
530,1vmb
531,1vmh
532,1vmo
533,1vp7
534,1vp8
535,1vpb
536,1vpq
537,1vq8
538,1vq8
539,1vq8
540,1vq8
541,1vq8
542,1vq8
543,1vq8
544,1vr0
545,1vr4
546,1vr7
547,1vrm
548,1vyr
549,1vzm
550,1vzy
551,1vzy
552,1w0n
553,1w23
554,1w53
555,1w66
556,1w6s
557,1w6s
558,1w7c
559,1w85
560,1wb9
561,1wb9
562,1wb9
563,1wcw
564,1wd3
565,1wdd
566,1wdd
567,1weh
568,1whi
569,1whz
570,1wjx
571,1wlg
572,1wn2
573,1wna
574,1wny
575,1wpb
576,1wpn
577,1wqg
578,1wqj
579,1wtj
580,1wu9
581,1wub
582,1wui
583,1wui
584,1wvq
585,1wy5
586,1wy6
587,1x2i
588,1x38
589,1x3l
590,1x6o
591,1x8q
592,1x91
593,1x9d
594,1x9z
595,1xak
596,1xbi
597,1xdn
598,1xeo
599,1xg0
600,1xkp
601,1xkr
602,1xly
603,1xm3
604,1xmb
605,1xmk
606,1xpp
607,1xqo
608,1xsv
609,1xsz
610,1xu1
611,1xub
612,1xvs
613,1y02
614,1y0n
615,1y0p
616,1y6x
617,1y9i
618,1yb3
619,1yc9
620,1yfq
621,1yfs
622,1yk4
623,1ylx
624,1yoz
625,1yt3
626,1yu0
627,1yu5
628,1yvr
629,1yzy
630,1z0j
631,1z0p
632,1z0w
633,1z2u
634,1z3e
635,1z3x
636,1z67
637,1z8g
638,1z9t
639,1zat
640,1zav
641,1zbp
642,1zce
643,1zd0
644,1zel
645,1zgk
646,1zhx
647,1zin
648,1zjc
649,1zke
650,1zl0
651,1zme
652,1zoq
653,1zps
654,1zso
655,1zt3
656,1zzk
657,2a1v
658,2a26
659,2a2l
660,2a65
661,2a90
662,2a9d
663,2a9s
664,2a9u
665,2aef
666,2ag4
667,2ahm
668,2aib
669,2aj7
670,2ap3
671,2apl
672,2apo
673,2arc
674,2asb
675,2ask
676,2au5
677,2auw
678,2axw
679,2ayd
680,2b0a
681,2b1y
682,2b59
683,2b97
684,2bay
685,2bfd
686,2bhu
687,2bjq
688,2bky
689,2bl8
690,2bln
691,2bln
692,2bog
693,2bop
694,2bti
695,2bv4
696,2bw3
697,2bz1
698,2c0g
699,2c2a
700,2c60
701,2c6q
702,2c71
703,2c9w
704,2ca5
705,2car
706,2cb8
707,2cc6
708,2ccv
709,2cg7
710,2cho
711,2ci1
712,2ciw
713,2cnq
714,2cs7
715,2csb
716,2cu2
717,2cve
718,2cwy
719,2cx1
720,2cxy
721,2cyj
722,2czr
723,2czv
724,2d00
725,2d0o
726,2d1s
727,2d28
728,2d8d
729,2d9r
730,2db7
731,2dbs
732,2dej
733,2dew
734,2dlb
735,2dm9
736,2dpf
737,2dpl
738,2dsy
739,2dt8
740,2dwk
741,2dxu
742,2e0a
743,2e2a
744,2e3h
745,2e9x
746,2e9x
747,2ebf
748,2ebs
749,2ed6
750,2end
751,2erl
752,2es4
753,2es9
754,2euc
755,2f01
756,2f22
757,2f23
758,2f2b
759,2f2h
760,2f4i
761,2f4m
762,2f5t
763,2f69
764,2f69
765,2f9h
766,2fb5
767,2fcj
768,2fcl
769,2fcw
770,2fcw
771,2fef
772,2fef
773,2ffg
774,2fg1
775,2fgg
776,2fgq
777,2fhz
778,2fhz
779,2fi0
780,2fiy
781,2fj8
782,2fma
783,2fpn
784,2fqm
785,2fsq
786,2fsu
787,2ftx
788,2fup
789,2fvv
790,2fvy
791,2fyu
792,2fyx
793,2fzp
794,2fzt
795,2g03
796,2g0d
797,2g38
798,2g3r
799,2g50
800,2g62
801,2g7s
802,2gbo
803,2gec
804,2gf4
805,2gfq
806,2ghv
807,2gib
808,2gjv
809,2gkg
810,2gom
811,2gpi
812,2grr
813,2gsv
814,2gti
815,2gud
816,2gyk
817,2h1t
818,2h1v
819,2h6f
820,2h6f
821,2h88
822,2h8e
823,2hba
824,2hdz
825,2hf1
826,2hiy
827,2hng
828,2hnu
829,2hpj
830,2hq4
831,2hqs
832,2hqs
833,2hs1
834,2huh
835,2huj
836,2hw4
837,2hxm
838,2hy5
839,2i06
840,2i0z
841,2i15
842,2i1s
843,2i53
844,2i5h
845,2i5u
846,2i5v
847,2i71
848,2i9i
849,2i9w
850,2i9x
851,2ia1
852,2ia7
853,2iaf
854,2iay
855,2ic2
856,2ich
857,2icu
858,2icw
859,2ido
860,2ih2
861,2ii1
862,2in5
863,2inw
864,2ivy
865,2iwk
866,2izx
867,2j4w
868,2j5y
869,2j6b
870,2j80
871,2j8g
872,2j8k
873,2j97
874,2j9w
875,2jdi
876,2jdi
877,2jdi
878,2jdq
879,2je6
880,2je6
881,2jek
882,2jfr
883,2jhf
884,2jli
885,2lig
886,2mcm
887,2mhr
888,2nls
889,2nlv
890,2nml
891,2nn4
892,2nnu
893,2nr5
894,2nsz
895,2ntk
896,2nug
897,2nug
898,2o2k
899,2o37
900,2o3b
901,2o5h
902,2o6k
903,2o8s
904,2o9s
905,2o9u
906,2oa5
907,2ob3
908,2ob5
909,2od0
910,2odk
911,2oeb
912,2ofc
913,2ogf
914,2ohw
915,2oiz
916,2oku
917,2oqz
918,2ot3
919,2ota
920,2ou3
921,2oux
922,2ov0
923,2ox7
924,2oy9
925,2p0t
926,2p12
927,2p1m
928,2p3y
929,2p62
930,2p6v
931,2p74
932,2p8i
933,2p8q
934,2p8t
935,2p90
936,2pbk
937,2phc
938,2phn
939,2pif
940,2pju
941,2pk8
942,2pmr
943,2ppv
944,2prv
945,2psb
946,2psp
947,2pst
948,2pu9
949,2pv4
950,2pvb
951,2pww
952,2pyq
953,2q0z
954,2q22
955,2q2g
956,2q66
957,2q6k
958,2q6k
959,2qdl
960,2qhf
961,2qkl
962,2qsb
963,2qud
964,2qup
965,2r0x
966,2r31
967,2r4q
968,2r75
969,2r75
970,2rbk
971,2rde
972,2rfr
973,2rk3
974,2rkq
975,2rld
976,2sak
977,2sic
978,2tps
979,2uv4
980,2v3z
981,2v6x
982,2v89
983,2v8t
984,2v9l
985,2vb1
986,2vdr
987,2vfx
988,2vhk
989,2vn6
990,2vu9
991,2vxn
992,2w1v
993,2w6k
994,2wbm
995,2wbm
996,2wds
997,2we5
998,2wfi
999,2wkx
1000,2wlv
1001,2wn9
1002,2wnp
1003,2woe
1004,2wqk
1005,2wur
1006,2wyt
1007,2wzk
1008,2x42
1009,2x5o
1010,2x5o
1011,2x5o
1012,2xhi
1013,2xi8
1014,2xjp
1015,2xol
1016,2xov
1017,2xu3
1018,2xw6
1019,2xzg
1020,2y5f
1021,2y71
1022,2y8y
1023,2yim
1024,2ykz
1025,2ylb
1026,2z16
1027,2z51
1028,2z7f
1029,2za4
1030,2zcw
1031,2zw2
1032,3a38
1033,3a4r
1034,3a9s
1035,3a9s
1036,3aa0
1037,3ag3
1038,3ag3
1039,3ag3
1040,3ag3
1041,3ag3
1042,3ag3
1043,3ag3
1044,3ag3
1045,3ag3
1046,3ag3
1047,3agn
1048,3amr
1049,3ar4
1050,3ar4
1051,3arc
1052,3arc
1053,3arc
1054,3arc
1055,3arc
1056,3awu
1057,3awu
1058,3axj
1059,3b0g
1060,3b0g
1061,3b64
1062,3bbb
1063,3bhd
1064,3bhp
1065,3bi1
1066,3bn0
1067,3bof
1068,3bp3
1069,3bqo
1070,3brd
1071,3bul
1072,3bux
1073,3bvu
1074,3bvu
1075,3bwu
1076,3byp
1077,3byq
1078,3bzk
1079,3c7x
1080,3c8g
1081,3c8w
1082,3c8y
1083,3c9u
1084,3ci0
1085,3ci3
1086,3cim
1087,3cjs
1088,3cr3
1089,3ct6
1090,3cu9
1091,3cwc
1092,3czz
1093,3d06
1094,3d36
1095,3d3b
1096,3d3r
1097,3db7
1098,3dby
1099,3ddt
1100,3dk9
1101,3dkm
1102,3dnf
1103,3dnj
1104,3dxr
1105,3e9v
1106,3ea6
1107,3eeq
1108,3eer
1109,3eip
1110,3eoj
1111,3epw
1112,3ess
1113,3eye
1114,3f0d
1115,3f0p
1116,3f42
1117,3f6y
1118,3fau
1119,3fil
1120,3fso
1121,3fst
1122,3fx7
1123,3fxk
1124,3fyb
1125,3g0m
1126,3g21
1127,3g91
1128,3ge3
1129,3gmx
1130,3gp6
1131,3gwk
1132,3h0n
1133,3h1d
1134,3h63
1135,3h7i
1136,3h7i
1137,3hht
1138,3hms
1139,3hwu
1140,3i94
1141,3ijw
1142,3ilw
1143,3ip0
1144,3ip4
1145,3ivv
1146,3jqk
1147,3ju4
1148,3ju4
1149,3jvl
1150,3k2z
1151,3k34
1152,3k6i
1153,3klr
1154,3ksn
1155,3ku3
1156,3kwd
1157,3l00
1158,3l51
1159,3l5o
1160,3l8w
1161,3las
1162,3ldq
1163,3llp
1164,3lmn
1165,3lvj
1166,3lye
1167,3m4i
1168,3m5q
1169,3m7v
1170,3m9q
1171,3mcw
1172,3mg3
1173,3mmh
1174,3mqd
1175,3mzf
1176,3n08
1177,3n2w
1178,3n4j
1179,3nft
1180,3nir
1181,3nvs
1182,3o4p
1183,3o6c
1184,3og2
1185,3ojc
1186,3omy
1187,3ors
1188,3os4
1189,3os4
1190,3ose
1191,3osx
1192,3oxp
1193,3pbt
1194,3pc7
1195,3pdf
1196,3piw
1197,3pkz
1198,3pms
1199,3pro
1200,3psm
1201,3pzw
1202,3q20
1203,3q46
1204,3qm9
1205,3qpa
1206,3qq8
1207,3qzb
1208,3r87
1209,3r8j
1210,3rf3
1211,3rjs
1212,3rlf
1213,3rlf
1214,3rlo
1215,3rof
1216,3rq7
1217,3rss
1218,3rvc
1219,3rzn
1220,3s4e
1221,3s4y
1222,3s8g
1223,3s9z
1224,3sjl
1225,3sk7
1226,3swo
1227,3swo
1228,3sxu
1229,3t0h
1230,3t3l
1231,3t63
1232,3tg0
1233,3tn2
1234,3tvj
1235,3u1u
1236,3u7q
1237,3u81
1238,3u9w
1239,3uaw
1240,3uci
1241,3uej
1242,3ui4
1243,3ulj
1244,3umh
1245,3v5w
1246,3vdp
1247,3w07
1248,3w5h
1249,3w5h
1250,3wcq
1251,3zho
1252,3zqu
1253,3zuc
1254,3zyl
1255,3zyq
1256,4a02
1257,4a1i
1258,4a1i
1259,4a2v
1260,4a5s
1261,4a82
1262,4a8u
1263,4ac7
1264,4ac7
1265,4acf
1266,4af1
1267,4af1
1268,4aff
1269,4agh
1270,4aiw
1271,4al0
1272,4atm
1273,4au1
1274,4axo
1275,4ay7
1276,4b4u
1277,4dhl
1278,4dnd
1279,4doi
1280,4dri
1281,4dui
1282,4dwr
1283,4e29
1284,4e2v
1285,4e3y
1286,4e4r
1287,4ead
1288,4ead
1289,4ee6
1290,4egu
1291,4emt
1292,4ene
1293,4eo7
1294,4eqp
1295,4esm
1296,4esp
1297,4f01
1298,4f01
1299,4f19
1300,4fhr
1301,4fio
1302,4fw1
1303,4fyx
1304,4fyx
1305,4g1q
1306,4g3n
1307,4g78
1308,4gmu
1309,4gt9
1310,4gv2
1311,4gwb
1312,4gwg
1313,4h27
1314,4h6c
1315,4hdr
1316,4hl2
1317,4htg
1318,4hws
1319,4hww
1320,4hy4
1321,4i6y
1322,4i7e
1323,4i8h
1324,4i9o
1325,4iau
1326,4j7d
1327,4j9y
1328,4jer
1329,4jp6
1330,4jxq
1331,4kef
1332,4kli
1333,4kli
1334,4ler
1335,4lrs
1336,4lwr
1337,4mjr
1338,1gk9
1339,1gk9
1340,1mtp
1341,1mtp
1342,1n13
1343,1n13
1344,1qd6
1345,1qqp
1346,1qtn
1347,1qtn
