,SCOPeURL,PDB_ID
298,d1ntha_,1nth
299,d1ntya1,1nty
300,d1nu9c1,1nu9
301,d1nvus_,1nvu
302,d1nwza_,1nwz
303,d1nxja_,1nxj
304,d1nyca_,1nyc
305,d1nzea_,1nze
306,d1nzia1,1nzi
307,d1o22a_,1o22
308,d1o2da_,1o2d
309,d1o3ua_,1o3u
310,d1o75a1,1o75
311,d1o75a3,1o75
312,d1o7ja_,1o7j
313,d1o7qa_,1o7q
314,d1o82a_,1o82
315,d1o8ba2,1o8b
316,d1o98a1,1o98
317,d1oa8a_,1oa8
318,d1oaia_,1oai
319,d1oc0b_,1oc0
320,d1ofcx3,1ofc
321,d1ofda1,1ofd
322,d1ofza_,1ofz
323,d1ogmx1,1ogm
324,d1oisa_,1ois
325,d1ojha_,1ojh
326,d1ok0a_,1ok0
327,d1okca_,1okc
328,d1oksa_,1oks
329,d1olza2,1olz
330,d1olza3,1olz
331,d1on2a2,1on2
332,d1oo0a_,1oo0
333,d1oqja_,1oqj
334,d1or7a2,1or7
335,d1or7c_,1or7
336,d1orja_,1orj
337,d1osya_,1osy
338,d1ou8a_,1ou8
339,d1ov9a_,1ov9
340,d1ow1a_,1ow1
341,d1owla1,1owl
342,d1owla2,1owl
343,d1oxxk1,1oxx
344,d1ozja_,1ozj
345,d1ozna_,1ozn
346,d1p1xa_,1p1x
347,d1p5dx1,1p5d
348,d1p6oa_,1p6o
349,d1p90a_,1p90
350,d1p9ga_,1p9g
351,d1p9ya_,1p9y
352,d1pbyc_,1pby
353,d1pfoa_,1pfo
354,d1pfva3,1pfv
355,d1pi1a_,1pi1
356,d1pm4a_,1pm4
357,d1pp0a_,1pp0
358,d1ppjc1,1ppj
359,d1ppjd2,1ppj
360,d1ppje2,1ppj
361,d1ppjf_,1ppj
362,d1ppjg_,1ppj
363,d1ppjh_,1ppj
364,d1ppjj_,1ppj
365,d1pprm1,1ppr
366,d1puca_,1puc
367,d1pv5a_,1pv5
368,d1pvma3,1pvm
369,d1px5a1,1px5
370,d1pz4a_,1pz4
371,d1q0qa1,1q0q
372,d1q2ha_,1q2h
373,d1q5ya_,1q5y
374,d1q5za_,1q5z
375,d1q6za1,1q6z
376,d1q6za2,1q6z
377,d1q74a_,1q74
378,d1q88a_,1q88
379,d1q8da_,1q8d
380,d1q9ua_,1q9u
381,d1qd1a1,1qd1
382,d1qexa_,1qex
383,d1qf8a_,1qf8
384,d1qksa2,1qks
385,d1qmha1,1qmh
386,d1qw2a_,1qw2
387,d1qwga_,1qwg
388,d1r0da_,1r0d
389,d1r0ma1,1r0m
390,d1r0ri_,1r0r
391,d1r0va1,1r0v
392,d1r0va3,1r0v
393,d1r29a_,1r29
394,d1r5la1,1r5l
395,d1r5la2,1r5l
396,d1r6ja_,1r6j
397,d1r71a_,1r71
398,d1r7la_,1r7l
399,d1r8se_,1r8s
400,d1r9fa_,1r9f
401,d1rc9a2,1rc9
402,d1rcqa2,1rcq
403,d1regx_,1reg
404,d1rfya_,1rfy
405,d1rg8a_,1rg8
406,d1rgxa_,1rgx
407,d1ri6a_,1ri6
408,d1rk8c_,1rk8
409,d1rkia1,1rki
410,d1rl6a1,1rl6
411,d1rlra1,1rlr
412,d1roca_,1roc
413,d1rssa_,1rss
414,d1rtqa_,1rtq
415,d1rwha1,1rwh
416,d1rwha2,1rwh
417,d1rwia_,1rwi
418,d1ryla_,1ryl
419,d1ryqa_,1ryq
420,d1s0pa_,1s0p
421,d1s1da_,1s1d
422,d1s2xa_,1s2x
423,d1s7ma_,1s7m
424,d1s7za_,1s7z
425,d1s98a_,1s98
426,d1s99a_,1s99
427,d1sbxa_,1sbx
428,d1sdia_,1sdi
429,d1seda_,1sed
430,d1seia_,1sei
431,d1sf9a_,1sf9
432,d1sg4a1,1sg4
433,d1sj7a1,1sj7
434,d1sknp_,1skn
435,d1slua_,1slu
436,d1sr8a_,1sr8
437,d1svba2,1svb
438,d1syxb_,1syx
439,d1sz7a_,1sz7
440,d1szha_,1szh
441,d1t07a_,1t07
442,d1t11a1,1t11
443,d1t1ea2,1t1e
444,d1t1ua1,1t1u
445,d1t2da2,1t2d
446,d1t3ua_,1t3u
447,d1t6aa_,1t6a
448,d1t6ua_,1t6u
449,d1t77a1,1t77
450,d1t8ka_,1t8k
451,d1t9ia_,1t9i
452,d1td6a_,1td6
453,d1tf5a1,1tf5
454,d1tf5a2,1tf5
455,d1ti6b1,1ti6
456,d1tiga_,1tig
457,d1tjxa_,1tjx
458,d1tkea2,1tke
459,d1tl2a_,1tl2
460,d1ts9a_,1ts9
461,d1tt8a_,1tt8
462,d1tuka_,1tuk
463,d1tula_,1tul
464,d1twfc2,1twf
465,d1twff_,1twf
466,d1twfj_,1twf
467,d1tx4a_,1tx4
468,d1tzba_,1tzb
469,d1u07a_,1u07
470,d1u2ca2,1u2c
471,d1u2ha_,1u2h
472,d1u5ka2,1u5k
473,d1u5pa1,1u5p
474,d1u6ka_,1u6k
475,d1u7ga_,1u7g
476,d1u7za_,1u7z
477,d1u84a_,1u84
478,d1u94a2,1u94
479,d1ucda_,1ucd
480,d1ucsa_,1ucs
481,d1udxa3,1udx
482,d1ufia_,1ufi
483,d1ufya_,1ufy
484,d1ugia_,1ugi
485,d1uj8a1,1uj8
486,d1unqa_,1unq
487,d1uoya_,1uoy
488,d1uptb_,1upt
489,d1us0a_,1us0
490,d1us7b_,1us7
491,d1usma_,1usm
492,d1usub_,1usu
493,d1ut7a_,1ut7
494,d1utga_,1utg
495,d1utya_,1uty
496,d1uuja_,1uuj
497,d1uuya_,1uuy
498,d1uv7a_,1uv7
499,d1uwka_,1uwk
500,d1ux5a_,1ux5
501,d1uxya2,1uxy
502,d1uz3a_,1uz3
503,d1uz5a1,1uz5
504,d1uz5a2,1uz5
505,d1v30a_,1v30
506,d1v58a2,1v58
507,d1v6pa_,1v6p
508,d1v74b_,1v74
509,d1v7za_,1v7z
510,d1v8ca2,1v8c
511,d1vaja1,1vaj
512,d1vbwa_,1vbw
513,d1vcca_,1vcc
514,d1vcla3,1vcl
515,d1vd6a_,1vd6
516,d1vf6a_,1vf6
517,d1vf7a_,1vf7
518,d1vh4a_,1vh4
519,d1vi6a_,1vi6
520,d1vioa2,1vio
521,d1vjla_,1vjl
522,d1vk1a_,1vk1
523,d1vk5a_,1vk5
524,d1vkea_,1vke
525,d1vkfa_,1vkf
526,d1vkma_,1vkm
527,d1vlra2,1vlr
528,d1vlya1,1vly
529,d1vlya2,1vly
530,d1vmba_,1vmb
531,d1vmha_,1vmh
532,d1vmoa_,1vmo
533,d1vp7a_,1vp7
534,d1vp8a_,1vp8
535,d1vpba_,1vpb
536,d1vpqa_,1vpq
537,d1vq811,1vq8
538,d1vq821,1vq8
539,d1vq8l1,1vq8
540,d1vq8p1,1vq8
541,d1vq8v1,1vq8
542,d1vq8x1,1vq8
543,d1vq8y1,1vq8
544,d1vr0a1,1vr0
545,d1vr4a1,1vr4
546,d1vr7a_,1vr7
547,d1vrma1,1vrm
548,d1vyra_,1vyr
549,d1vzma_,1vzm
550,d1vzya1,1vzy
551,d1vzya2,1vzy
552,d1w0na_,1w0n
553,d1w23a_,1w23
554,d1w53a_,1w53
555,d1w66a1,1w66
556,d1w6sa_,1w6s
557,d1w6sb_,1w6s
558,d1w7ca2,1w7c
559,d1w85i_,1w85
560,d1wb9a1,1wb9
561,d1wb9a3,1wb9
562,d1wb9a4,1wb9
563,d1wcwa_,1wcw
564,d1wd3a2,1wd3
565,d1wdda1,1wdd
566,d1wdda2,1wdd
567,d1weha_,1weh
568,d1whia_,1whi
569,d1whza_,1whz
570,d1wjxa_,1wjx
571,d1wlga_,1wlg
572,d1wn2a_,1wn2
573,d1wnaa_,1wna
574,d1wnya_,1wny
575,d1wpba_,1wpb
576,d1wpna_,1wpn
577,d1wqga_,1wqg
578,d1wqjb1,1wqj
579,d1wtja_,1wtj
580,d1wu9a1,1wu9
581,d1wuba_,1wub
582,d1wuil_,1wui
583,d1wuis_,1wui
584,d1wvqa_,1wvq
585,d1wy5a2,1wy5
586,d1wy6a_,1wy6
587,d1x2ia1,1x2i
588,d1x38a2,1x38
589,d1x3la_,1x3l
590,d1x6oa1,1x6o
591,d1x8qa_,1x8q
592,d1x91a_,1x91
593,d1x9da_,1x9d
594,d1x9za_,1x9z
595,d1xaka_,1xak
596,d1xbia1,1xbi
597,d1xdna_,1xdn
598,d1xeoa_,1xeo
599,d1xg0a_,1xg0
600,d1xkpb1,1xkp
601,d1xkra_,1xkr
602,d1xlya_,1xly
603,d1xm3a_,1xm3
604,d1xmba2,1xmb
605,d1xmka1,1xmk
606,d1xppa_,1xpp
607,d1xqoa_,1xqo
608,d1xsva_,1xsv
609,d1xsza2,1xsz
610,d1xu1r_,1xu1
611,d1xuba1,1xub
612,d1xvsa_,1xvs
613,d1y02a1,1y02
614,d1y0na_,1y0n
615,d1y0pa3,1y0p
616,d1y6xa1,1y6x
617,d1y9ia_,1y9i
618,d1yb3a1,1yb3
619,d1yc9a_,1yc9
620,d1yfqa_,1yfq
621,d1yfsa1,1yfs
622,d1yk4a_,1yk4
623,d1ylxa1,1ylx
624,d1yoza1,1yoz
625,d1yt3a1,1yt3
626,d1yu0a1,1yu0
627,d1yu5x_,1yu5
628,d1yvra1,1yvr
629,d1yzya1,1yzy
630,d1z0jb1,1z0j
631,d1z0pa1,1z0p
632,d1z0wa_,1z0w
633,d1z2ua1,1z2u
634,d1z3eb1,1z3e
635,d1z3xa2,1z3x
636,d1z67a1,1z67
637,d1z8ga2,1z8g
638,d1z9ta_,1z9t
639,d1zata2,1zat
640,d1zava1,1zav
641,d1zbpa1,1zbp
642,d1zcea1,1zce
643,d1zd0a1,1zd0
644,d1zela2,1zel
645,d1zgka1,1zgk
646,d1zhxa_,1zhx
647,d1zina2,1zin
648,d1zjca1,1zjc
649,d1zkea1,1zke
650,d1zl0a1,1zl0
651,d1zmec1,1zme
652,d1zoqc_,1zoq
653,d1zpsa1,1zps
654,d1zsoa1,1zso
655,d1zt3a_,1zt3
656,d1zzka_,1zzk
657,d2a1va1,2a1v
658,d2a26a1,2a26
659,d2a2la1,2a2l
660,d2a65a1,2a65
661,d2a90a1,2a90
662,d2a9da2,2a9d
663,d2a9sa1,2a9s
664,d2a9ua1,2a9u
665,d2aefa2,2aef
666,d2ag4a_,2ag4
667,d2ahma1,2ahm
668,d2aiba_,2aib
669,d2aj7a1,2aj7
670,d2ap3a1,2ap3
671,d2apla1,2apl
672,d2apob_,2apo
673,d2arca_,2arc
674,d2asba2,2asb
675,d2aska_,2ask
676,d2au5a1,2au5
677,d2auwa2,2auw
678,d2axwa1,2axw
679,d2ayda_,2ayd
680,d2b0aa1,2b0a
681,d2b1ya1,2b1y
682,d2b59b2,2b59
683,d2b97a_,2b97
684,d2baya_,2bay
685,d2bfdb2,2bfd
686,d2bhua2,2bhu
687,d2bjqa1,2bjq
688,d2bkya_,2bky
689,d2bl8a1,2bl8
690,d2blna1,2bln
691,d2blna2,2bln
692,d2bogx_,2bog
693,d2bopa_,2bop
694,d2btia_,2bti
695,d2bv4a_,2bv4
696,d2bw3a1,2bw3
697,d2bz1a_,2bz1
698,d2c0ga1,2c0g
699,d2c2aa1,2c2a
700,d2c60a1,2c60
701,d2c6qa_,2c6q
702,d2c71a1,2c71
703,d2c9wa1,2c9w
704,d2ca5a1,2ca5
705,d2cara1,2car
706,d2cb8a_,2cb8
707,d2cc6a_,2cc6
708,d2ccva1,2ccv
709,d2cg7a1,2cg7
710,d2choa1,2cho
711,d2ci1a_,2ci1
712,d2ciwa1,2ciw
713,d2cnqa_,2cnq
714,d2cs7a1,2cs7
715,d2csba5,2csb
716,d2cu2a1,2cu2
717,d2cvea2,2cve
718,d2cwya1,2cwy
719,d2cx1a2,2cx1
720,d2cxya_,2cxy
721,d2cyja1,2cyj
722,d2czra1,2czr
723,d2czvc1,2czv
724,d2d00a1,2d00
725,d2d0oa1,2d0o
726,d2d1sa_,2d1s
727,d2d28c1,2d28
728,d2d8da1,2d8d
729,d2d9ra1,2d9r
730,d2db7a1,2db7
731,d2dbsa1,2dbs
732,d2deja2,2dej
733,d2dewx1,2dew
734,d2dlba1,2dlb
735,d2dm9a1,2dm9
736,d2dpfa_,2dpf
737,d2dpla2,2dpl
738,d2dsya1,2dsy
739,d2dt8a_,2dt8
740,d2dwka_,2dwk
741,d2dxua2,2dxu
742,d2e0aa1,2e0a
743,d2e2aa_,2e2a
744,d2e3ha1,2e3h
745,d2e9xa1,2e9x
746,d2e9xb2,2e9x
747,d2ebfx1,2ebf
748,d2ebsa1,2ebs
749,d2ed6a1,2ed6
750,d2enda_,2end
751,d2erla_,2erl
752,d2es4d1,2es4
753,d2es9a1,2es9
754,d2euca1,2euc
755,d2f01a_,2f01
756,d2f22a1,2f22
757,d2f23a1,2f23
758,d2f2ba_,2f2b
759,d2f2ha1,2f2h
760,d2f4ia1,2f4i
761,d2f4mb_,2f4m
762,d2f5tx1,2f5t
763,d2f69a1,2f69
764,d2f69a2,2f69
765,d2f9ha1,2f9h
766,d2fb5a1,2fb5
767,d2fcja1,2fcj
768,d2fcla1,2fcl
769,d2fcwa1,2fcw
770,d2fcwb1,2fcw
771,d2fefa1,2fef
772,d2fefa2,2fef
773,d2ffga1,2ffg
774,d2fg1a_,2fg1
775,d2fgga1,2fgg
776,d2fgqx_,2fgq
777,d2fhza1,2fhz
778,d2fhzb_,2fhz
779,d2fi0a1,2fi0
780,d2fiya1,2fiy
781,d2fj8a1,2fj8
782,d2fmaa_,2fma
783,d2fpna1,2fpn
784,d2fqma1,2fqm
785,d2fsqa1,2fsq
786,d2fsua1,2fsu
787,d2ftxa1,2ftx
788,d2fupa1,2fup
789,d2fvva1,2fvv
790,d2fvya_,2fvy
791,d2fyuk_,2fyu
792,d2fyxa1,2fyx
793,d2fzpa1,2fzp
794,d2fzta1,2fzt
795,d2g03a1,2g03
796,d2g0da_,2g0d
797,d2g38a1,2g38
798,d2g3ra1,2g3r
799,d2g50a1,2g50
800,d2g62a1,2g62
801,d2g7sa2,2g7s
802,d2gboa1,2gbo
803,d2geca1,2gec
804,d2gf4a1,2gf4
805,d2gfqa1,2gfq
806,d2ghvc1,2ghv
807,d2giba1,2gib
808,d2gjva1,2gjv
809,d2gkga_,2gkg
810,d2goma1,2gom
811,d2gpia1,2gpi
812,d2grrb_,2grr
813,d2gsva1,2gsv
814,d2gtia2,2gti
815,d2guda1,2gud
816,d2gyka1,2gyk
817,d2h1ta1,2h1t
818,d2h1va_,2h1v
819,d2h6fa1,2h6f
820,d2h6fb1,2h6f
821,d2h88d_,2h88
822,d2h8ea_,2h8e
823,d2hbaa1,2hba
824,d2hdza_,2hdz
825,d2hf1a1,2hf1
826,d2hiya1,2hiy
827,d2hnga1,2hng
828,d2hnua_,2hnu
829,d2hpja_,2hpj
830,d2hq4a1,2hq4
831,d2hqsa2,2hqs
832,d2hqsc_,2hqs
833,d2hs1a_,2hs1
834,d2huha1,2huh
835,d2huja1,2huj
836,d2hw4a1,2hw4
837,d2hxma_,2hxm
838,d2hy5a1,2hy5
839,d2i06a_,2i06
840,d2i0za2,2i0z
841,d2i15a1,2i15
842,d2i1sa1,2i1s
843,d2i53a1,2i53
844,d2i5ha1,2i5h
845,d2i5ua1,2i5u
846,d2i5vo_,2i5v
847,d2i71a1,2i71
848,d2i9ia1,2i9i
849,d2i9wa2,2i9w
850,d2i9xa1,2i9x
851,d2ia1a1,2ia1
852,d2ia7a1,2ia7
853,d2iafa1,2iaf
854,d2iaya1,2iay
855,d2ic2a1,2ic2
856,d2icha1,2ich
857,d2icua_,2icu
858,d2icwg_,2icw
859,d2idob_,2ido
860,d2ih2a2,2ih2
861,d2ii1a_,2ii1
862,d2in5a1,2in5
863,d2inwa1,2inw
864,d2ivya_,2ivy
865,d2iwka1,2iwk
866,d2izxa_,2izx
867,d2j4wd1,2j4w
868,d2j5ya_,2j5y
869,d2j6ba1,2j6b
870,d2j80a_,2j80
871,d2j8ga1,2j8g
872,d2j8ka1,2j8k
873,d2j97a_,2j97
874,d2j9wa_,2j9w
875,d2jdia1,2jdi
876,d2jdia2,2jdi
877,d2jdih1,2jdi
878,d2jdqd_,2jdq
879,d2je6a2,2je6
880,d2je6i2,2je6
881,d2jeka1,2jek
882,d2jfra_,2jfr
883,d2jhfa2,2jhf
884,d2jlia_,2jli
885,d2liga_,2lig
886,d2mcma_,2mcm
887,d2mhra_,2mhr
888,d2nlsa_,2nls
889,d2nlva1,2nlv
890,d2nmla1,2nml
891,d2nn4a1,2nn4
892,d2nnua_,2nnu
893,d2nr5a1,2nr5
894,d2nsza1,2nsz
895,d2ntka_,2ntk
896,d2nuga1,2nug
897,d2nuga2,2nug
898,d2o2ka_,2o2k
899,d2o37a_,2o37
900,d2o3bb_,2o3b
901,d2o5ha1,2o5h
902,d2o6ka1,2o6k
903,d2o8sa1,2o8s
904,d2o9sa_,2o9s
905,d2o9ux_,2o9u
906,d2oa5a_,2oa5
907,d2ob3a_,2ob3
908,d2ob5a1,2ob5
909,d2od0a1,2od0
910,d2odka1,2odk
911,d2oeba1,2oeb
912,d2ofca_,2ofc
913,d2ogfa_,2ogf
914,d2ohwa1,2ohw
915,d2oizd_,2oiz
916,d2okua1,2oku
917,d2oqza_,2oqz
918,d2ot3a_,2ot3
919,d2otaa1,2ota
920,d2ou3a1,2ou3
921,d2ouxa1,2oux
922,d2ov0a_,2ov0
923,d2ox7a1,2ox7
924,d2oy9a1,2oy9
925,d2p0ta1,2p0t
926,d2p12a1,2p12
927,d2p1ma2,2p1m
928,d2p3ya1,2p3y
929,d2p62a1,2p62
930,d2p6va1,2p6v
931,d2p74a_,2p74
932,d2p8ia_,2p8i
933,d2p8qb_,2p8q
934,d2p8ta2,2p8t
935,d2p90a1,2p90
936,d2pbka_,2pbk
937,d2phcb2,2phc
938,d2phna_,2phn
939,d2pifa1,2pif
940,d2pjua1,2pju
941,d2pk8a_,2pk8
942,d2pmra1,2pmr
943,d2ppva_,2ppv
944,d2prva1,2prv
945,d2psba1,2psb
946,d2pspa1,2psp
947,d2pstx_,2pst
948,d2pu9a_,2pu9
949,d2pv4a1,2pv4
950,d2pvba_,2pvb
951,d2pwwa1,2pww
952,d2pyqa1,2pyq
953,d2q0zx1,2q0z
954,d2q22a1,2q22
955,d2q2ga1,2q2g
956,d2q66a3,2q66
957,d2q6ka1,2q6k
958,d2q6ka2,2q6k
959,d2qdla_,2qdl
960,d2qhfa_,2qhf
961,d2qklb_,2qkl
962,d2qsba1,2qsb
963,d2quda_,2qud
964,d2qupa_,2qup
965,d2r0xa_,2r0x
966,d2r31a_,2r31
967,d2r4qa1,2r4q
968,d2r7511,2r75
969,d2r7512,2r75
970,d2rbka_,2rbk
971,d2rdea1,2rde
972,d2rfra1,2rfr
973,d2rk3a_,2rk3
974,d2rkqa_,2rkq
975,d2rlda1,2rld
976,d2saka_,2sak
977,d2sici_,2sic
978,d2tpsa_,2tps
979,d2uv4a_,2uv4
980,d2v3za1,2v3z
981,d2v6xa_,2v6x
982,d2v89a_,2v89
983,d2v8ta_,2v8t
984,d2v9la_,2v9l
985,d2vb1a_,2vb1
986,d2vdra_,2vdr
987,d2vfxa_,2vfx
988,d2vhka_,2vhk
989,d2vn6b_,2vn6
